Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Libya,LBY,"Population, total",SP.POP.TOTL,5176185,5258677,5340389,5422612,5507000,5594450,5686475,5782108,5876805,5964325,6040612,6103233,6154623,6201521
St. Lucia,LCA,"Population, total",SP.POP.TOTL,156949,158650,160217,161766,163460,165407,167658,170149,172734,175200,177397,179271,180870,182273
Latin America & Caribbean (all income levels),LCN,"Population, total",SP.POP.TOTL,525299778,532840550,540217803,547443994,554534410,561502779,568336456,575047293,581691361,588333069,595022397,601761019,608545904,615332338
Least developed countries: UN classification,LDC,"Population, total",SP.POP.TOTL,663076857,679537030,696334710,713415311,730694477,748106719,765649069,783365551,801350734,819734200,838607768,858041634,877943413,898287691
Low income,LIC,"Population, total",SP.POP.TOTL,636658396,651625175,666831547,682231310,697754397,713362256,729028598,744805505,760826912,777273782,794273025,811875040,830035274,848667515
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,33093,33475,33821,34141,34445,34740,35028,35308,35582,35851,36120,36388,36656,36925
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,19102000,18797000,18921000,19173000,19435000,19644000,19858000,20039000,20217000,20450000,20653000,20869000,20328000,20483000
Lower middle income,LMC,"Population, total",SP.POP.TOTL,2089438289,2124273947,2159443025,2194868737,2230512895,2266321152,2302340655,2338536660,2374987094,2411761473,2449001778,2486557941,2523370023,2561088084
Low & middle income,LMY,"Population, total",SP.POP.TOTL,4891279561,4962395348,5033154140,5103614254,5174012022,5244447400,5314612227,5384133283,5454156949,5525305404,5597331388,5670402311,5743616071,5818411891
Lesotho,LSO,"Population, total",SP.POP.TOTL,1856225,1871500,1885487,1898757,1912022,1925844,1940413,1955784,1972199,1989873,2008921,2029516,2051545,2074465
Lithuania,LTU,"Population, total",SP.POP.TOTL,3499536,3470818,3443067,3415213,3377075,3322528,3269909,3231294,3198231,3162916,3097282,3028115,2987773,2956121
Luxembourg,LUX,"Population, total",SP.POP.TOTL,436300,441525,446175,451630,458095,465158,472637,479993,488650,497783,506953,518347,530946,543202
Latvia,LVA,"Population, total",SP.POP.TOTL,2367550,2337170,2310173,2287955,2263122,2238799,2218357,2200325,2177322,2141669,2097555,2059709,2034319,2013385
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,431907,438080,444150,450711,458542,468149,479808,493206,507528,521617,534626,546278,556783,566375
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,28384,27782,27450,27363,27514,27906,28414,28905,29376,29820,30235,30615,30959,31264
Morocco,MAR,"Population, total",SP.POP.TOTL,28710123,29021156,29311443,29586937,29855820,30125445,30395097,30667086,30955151,31276564,31642360,32059424,32521143,33008150
Monaco,MCO,"Population, total",SP.POP.TOTL,32081,32366,32653,32968,33346,33808,34369,35013,35686,36314,36845,37261,37579,37831
Moldova,MDA,"Population, total",SP.POP.TOTL,3639592,3631462,3623062,3612874,3603945,3595187,3585209,3576910,3570108,3565604,3562045,3559986,3559519,3559000
Madagascar,MDG,"Population, total",SP.POP.TOTL,15744811,16235767,16736029,17245275,17763367,18290394,18826126,19371023,19926785,20495695,21079532,21678934,22293914,22924851
Maldives,MDV,"Population, total",SP.POP.TOTL,272745,277825,282743,287594,292505,297576,302825,308239,313843,319660,325694,331964,338442,345023
Middle East & North Africa (all income levels),MEA,"Population, total",SP.POP.TOTL,311791217,317805287,323928401,330179555,336707719,343510995,350621934,357997667,365551442,373173863,380656782,388001596,395316900,402606687
Mexico,MEX,"Population, total",SP.POP.TOTL,103873607,105339877,106723661,108056312,109381550,110731826,112116694,113529819,114968039,116422752,117886404,119361233,120847477,122332399
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,52161,52184,52161,52115,52074,52058,52084,52150,52245,52341,52428,52495,52555,52634
Middle income,MIC,"Population, total",SP.POP.TOTL,4254621165,4310770173,4366322593,4421382944,4476257625,4531085144,4585583629,4639327778,4693330037,4748031622,4803058363,4858527271,4913580797,4969744376
"Macedonia, FYR",MKD,"Population, total",SP.POP.TOTL,2052129,2065098,2074441,2080866,2085728,2090044,2093801,2096620,2098769,2100558,2102216,2103890,2105575,2107158
Mali,MLI,"Population, total",SP.POP.TOTL,10260577,10562768,10882662,11219737,11572936,11941258,12325545,12725629,13138299,13559296,13985961,14416737,14853572,15301650
Malta,MLT,"Population, total",SP.POP.TOTL,381363,393028,395969,398582,401268,403834,405308,406724,409379,412477,414508,416268,419455,423282
Myanmar,MMR,"Population, total",SP.POP.TOTL,48453000,48894203,49261313,49577152,49875169,50181020,50500070,50828959,51174018,51540490,51931231,52350763,52797319,53259018
Middle East & North Africa (developing only),MNA,"Population, total",SP.POP.TOTL,276589220,281419375,286194319,290931916,295798207,300818779,306024448,311388401,316897374,322492145,328123176,333779559,339560601,345447146
Montenegro,MNE,"Population, total",SP.POP.TOTL,611196,611525,612325,613448,614670,615820,616854,617800,618649,619408,620078,620644,621081,621383
Mongolia,MNG,"Population, total",SP.POP.TOTL,2397473,2419669,2443231,2468595,2496248,2526502,2559496,2595068,2632834,2672223,2712738,2754209,2796484,2839073
Northern Mariana Islands,MNP,"Population, total",SP.POP.TOTL,68434,68817,68499,67562,66143,64372,62235,59792,57345,55278,53860,53230,53305,53855
Mozambique,MOZ,"Population, total",SP.POP.TOTL,18275618,18785719,19319894,19873460,20438827,21010376,21587317,22171404,22762525,23361025,23967265,24581367,25203395,25833752
Mauritania,MRT,"Population, total",SP.POP.TOTL,2708095,2791403,2877431,2965667,3055425,3146164,3237713,3330037,3422901,3516077,3609420,3702763,3796141,3889880
Mauritius,MUS,"Population, total",SP.POP.TOTL,1186873,1199881,1210196,1222811,1233386,1243253,1252698,1260403,1268565,1275032,1280924,1286051,1291167,1296303
Malawi,MWI,"Population, total",SP.POP.TOTL,11321496,11623166,11926778,12238739,12569091,12924746,13307535,13713758,14138207,14573338,15013694,15457531,15906483,16362567
Malaysia,MYS,"Population, total",SP.POP.TOTL,23420751,23925742,24413795,24890654,25365089,25843466,26327098,26813819,27302348,27790324,28275835,28758968,29239927,29716965
North America,NAC,"Population, total",SP.POP.TOTL,312993944,316113359,319050105,321847258,324864038,327892753,331014940,334184023,337405012,340465736,343396693,345989908,348692795,351352167
Namibia,NAM,"Population, total",SP.POP.TOTL,1897953,1931282,1958303,1981237,2003320,2027026,2052931,2080700,2110791,2143498,2178967,2217618,2259393,2303315
New Caledonia,NCL,"Population, total",SP.POP.TOTL,213230,217324,221490,225735,230068,234393,238459,242400,243985,245580,250000,254000,258000,262000
Niger,NER,"Population, total",SP.POP.TOTL,10989815,11396434,11817297,12254040,12708897,13183798,13679705,14197289,14737895,15302948,15893746,16511462,17157042,17831270
Nigeria,NGA,"Population, total",SP.POP.TOTL,122876727,126004992,129224641,132550146,135999250,139585891,143314909,147187353,151208080,155381020,159707780,164192925,168833776,173615345
Nicaragua,NIC,"Population, total",SP.POP.TOTL,5100920,5176685,5248577,5317878,5386299,5455219,5524927,5595533,5667983,5743329,5822209,5905146,5991733,6080478
Netherlands,NLD,"Population, total",SP.POP.TOTL,15925513,16046180,16148929,16225302,16281779,16319868,16346101,16381696,16445593,16530388,16615394,16693074,16754962,16804224
High income: nonOECD,NOC,"Population, total",SP.POP.TOTL,231667801,232443635,233318373,234035814,234944755,236119091,237546891,239408338,241547193,243583554,245923838,248047494,249927994,251690488
